Description,Footprint,Comment,Mid X,Mid Y, Rotation, Layer
C4,"EIA3528","100uF/6V",11.32,13.18,270,bottom
C3,"EIA3528","100uF/6V",56.28,69.06,90,bottom
C2,"EIA3528","100uF/6V",56.03,13.18,270,bottom
C1,"EIA3528","100uF/6V",11.07,69.06,90,bottom
U3,"TSSOP28","pca9685",32.21,30.86,0,bottom
U5,"TSSOP28","pca9685",35.11,50.40,180,bottom
R16,"0402","220",14.62,60.45,90,bottom
R18,"0402","220",19.70,60.45,90,bottom
R6,"0402","220",37.46,19.81,270,bottom
R4,"0402","220",42.54,19.81,270,bottom
R5,"0402","220",40.00,19.81,270,bottom
R3,"0402","220",45.08,19.81,270,bottom
R2,"0402","220",47.62,19.81,270,bottom
R1,"0402","220",50.16,19.81,270,bottom
R0,"0402","220",52.70,19.81,270,bottom
R22,"0402","220",29.86,60.45,90,bottom
R20,"0402","220",24.78,60.45,90,bottom
R21,"0402","220",27.32,60.45,90,bottom
R19,"0402","220",22.24,60.45,90,bottom
R17,"0402","220",17.16,60.45,90,bottom
R9,"0402","220",29.82,19.90,270,bottom
R8,"0402","220",32.36,19.90,270,bottom
R11,"0402","220",24.74,19.90,270,bottom
R12,"0402","220",22.20,19.90,270,bottom
R10,"0402","220",27.28,19.90,270,bottom
R13,"0402","220",19.66,19.90,270,bottom
R14,"0402","220",17.12,19.90,270,bottom
R15,"0402","220",14.58,19.90,270,bottom
R23,"0402","220",32.39,60.53,90,bottom
R25,"0402","220",37.47,60.53,90,bottom
R24,"0402","220",34.93,60.53,90,bottom
R27,"0402","220",42.55,60.53,90,bottom
R28,"0402","220",45.09,60.53,90,bottom
R26,"0402","220",40.01,60.53,90,bottom
R29,"0402","220",47.63,60.53,90,bottom
R30,"0402","220",50.17,60.53,90,bottom
R31,"0402","220",52.71,60.53,90,bottom
R35,"0402","10k",41.25,48.75,180,bottom
C6,"0402","0.1uF",37.52,44.57,180,bottom
R34,"0402","10k",41.30,45.60,0,bottom
R33,"0402","10k",26.10,33.80,0,bottom
R32,"0402","10k",26.10,34.80,0,bottom
S1,"3x6sw","3x6sw",63.55,66.90,90,top
R7,"0402","220",34.90,19.90,270,bottom
R37,"0402","10k",34.30,44.40,0,bottom
R36,"0402","10k",34.40,37.90,0,bottom
LED1,"0805","unknown",33.20,37.90,0,top
LED0,"0805","unknown",54.70,20.10,90,top
R38,"0402","10k",54.70,20.90,90,bottom
LED2,"0805","unknown",33.17,44.40,0,top
C5,"0402","0.1uF",26.10,36.30,180,bottom
